NUMĂRUL TURIŞTILOR CAZAŢI ÎN STRUCTURILE DE PRIMIRE TURISTICĂ COLECTIVE CU FUNCŢIUNE DE CAZARE,,,,,,,,,,,,,,
,TOTAL,Hoteluri şi moteluri,Pensiuni turistice şi agroturistice,Cămine pentru vizitatori,Structuri de întremare,Sate de vacanţă şi alte structuri de odihnă,Tabere de vacanţă pentru copii,TOTAL,Hoteluri şi moteluri,Pensiuni turistice şi agroturistice,Cămine pentru vizitatori,Structuri de întremare,Sate de vacanţă şi alte structuri de odihnă,Tabere de vacanţă pentru copii
,T O T A L,,,,,,,din care turişti străini,,,,,,
2004,286731,118128,372,48443,28272,48718,42798,68829,66127,229,1310,230,685,248
trim. I,44540,25807,−,12720,5787,226,−,15058,14861,−,174,23,−,−
trim. II,74435,30741,−,10588,6456,15920,10730,19409,18855,−,243,91,169,51
trim. III,114744,29629,−,12301,8688,32058,32068,18255,17094,−,356,92,516,197
trim. IV,53012,31951,372,12834,7341,514,−,16107,15317,229,537,24,−,−
2005,301656,115417,1807,52727,29776,47889,54040,67235,63761,1003,1518,238,74,641
trim. I,48480,29161,123,12531,6580,85,−,17056,16785,73,177,21,−,−
trim. II,77120,26774,443,13008,7284,13943,15668,16477,15698,112,453,56,−,158
trim. III,122137,28529,680,13203,8666,33545,37514,17289,15748,354,510,120,74,483
trim. IV,53919,30953,561,13985,7246,316,858,16413,15530,464,378,41,−,−
2006,311966,112672,7763,48285,32932,49854,60460,62771,57844,3102,741,501,242,341
trim. I,45611,25597,445,11499,8026,44,−,12140,11495,366,246,33,−,−
trim. II,84291,29618,1019,12669,7702,13588,19695,16503,15490,524,380,56,18,35
trim. III,130388,30043,2662,12292,9112,35719,40560,17057,14955,1329,−,353,114,306
trim. IV,51676,27414,3637,11825,8092,503,205,17071,15904,883,115,59,110,−
2007,314619,118245,8932,31919,33569,52504,69450,70302,64189,3488,1731,288,372,234
trim. I,43465,23042,1697,10924,7522,280,−,14076,13033,835,127,35,46,−
trim. II,90095,30565,2141,7596,8107,18427,23259,19017,17471,819,495,58,97,77
trim. III,130019,32448,2946,6553,9013,33356,45703,19228,17476,853,480,144,118,157
trim. IV,51040,32190,2148,6846,8927,441,488,17981,16209,981,629,51,111,−
2008,280550,116922,11392,16884,36053,27587,71712,73288,65952,2981,2667,369,1080,239
trim. I,41907,24608,2261,5748,8330,745,215,14550,12776,1121,492,44,117,−
trim. II,84491,30118,3017,4593,8077,12252,26434,20352,18044,1098,886,83,213,28
trim. III,106045,29933,4777,3616,9383,13535,44801,18957,16996,762,624,174,190,211
trim. IV,48107,32263,1337,2927,10263,1055,262,19429,18136,−,665,68,560,−
2009,227888,88896,12346,11871,29170,24708,60897,59563,53077,2500,1790,366,1480,350
trim. I,38782,25356,1450,2978,8021,710,267,15770,14587,514,366,34,269,−
trim. II,57859,20137,2468,2952,5718,6219,20365,12670,11084,582,548,94,312,50
trim. III,93251,20270,5434,2400,8487,16455,40205,15080,12920,751,423,186,500,300
trim. IV,37996,23133,2994,3541,6944,1324,60,16043,14486,653,453,52,399,−
2010,229893,93911,13290,14187,26769,18386,63350,63593,56787,2383,1624,433,2171,195
trim. I,28691,17696,2220,3455,4354,650,316,11226,10133,609,151,59,274,−
trim. II,64545,24387,3859,4115,4714,6020,21450,17688,15673,885,554,142,434,−
trim. III,94119,24906,5540,2735,9526,10038,41374,17296,15101,597,466,191,746,195
trim. IV,42538,26922,1671,3882,8175,1678,210,17383,15880,292,453,41,717,−
2011,248309,103726,11701,15105,29006,25826,62945,75000,67147,2417,1645,525,3231,35
trim. I,31956,19435,1681,3654,5941,1245,−,12794,11784,220,143,70,577,−
trim. II,68219,27359,2975,3974,5933,7207,20771,20654,18421,618,534,115,966,−
trim. III,102569,27291,4318,3738,9885,15416,41921,20443,18097,766,397,260,888,35
trim. IV,45565,29641,2727,3739,7247,1958,253,21109,18845,813,571,80,800,−
2012,268189,119530,11570,13367,31156,39522,53044,88956,78893,3881,1791,567,3789,35
trim. I,35770,23133,1544,2682,7270,1069,72,16247,14921,579,139,71,537,−
trim. II,75279,32651,3842,3475,6934,11961,16416,25433,22749,830,646,138,1070,−
trim. III,109635,31807,4148,3439,9816,23869,36556,24275,20827,1278,646,280,1209,35
trim. IV,47505,31939,2036,3771,7136,2623,-,23001,20396,1194,360,78,973,-
2013,271541,126747,11526,14554,32045,33027,53642,95640,84105,4353,1467,846,4823,46
trim. I,36524,24610,1695,2962,5878,1379,-,17174,15306,823,201,67,777,-
trim. II,75767,34280,3257,4380,7780,9749,16321,27109,23972,1200,533,190,1214,-
trim. III,107853,34575,4103,3345,9948,18586,37296,27332,23594,1225,378,415,1674,46
trim. IV,51397,33282,2471,3867,8439,3313,25,24025,21233,1105,355,174,1158,-
2014,283001,136432,8208,10072,32920,48158,47211,93897,86901,1402,1130,665,3754,45
trim. I,38226,27088,903,1778,7135,1322,0,17363,16165,207,172,118,701,-
trim. II,72581,34219,2182,2713,7324,11963,14180,24131,22309,314,404,187,917,-
trim. III,117066,36593,3822,1971,9992,31736,32952,25536,23232,565,197,271,1226,45
trim. IV,55128,38532,1301,3610,8469,3137,79,26867,25195,316,357,89,910,-
2015,278855,130944,9283,7002,32349,46636,52641,94381,86782,1730,307,652,4843,67
trim. I,35709,24097,1309,1524,6923,1827,29,16165,14954,309,33,92,777,-
trim. II,77949,34069,2188,2421,7551,16077,15643,25112,22973,431,68,121,1519,-
trim.III,111483,34450,3778,1405,9720,25559,36571,26032,23680,562,90,307,1326,67
trim. IV,53714,38328,2008,1652,8155,3173,398,27072,25175,428,116,132,1221,-
2016,306307,159454,21343,6079,32324,39915,47192,121340,110618,2725,490,701,6783,23
trim. I,40871,29993,1202,1304,6271,2066,35,22020,20500,268,77,63,1112,-
trim. II,84099,42247,9491,1541,7014,10577,13229,32626,29712,782,161,195,1776,-
trim.III,119617,43915,7801,1335,10501,22162,33928,34064,30593,953,216,322,1957,23
trim. IV,61720,43299,2849,1899,8538,5110,-,32630,29813,722,36,121,1938,-
2017,337207,182434,20922,7078,30879,44996,50898,145165,131725,3288,37,965,9127,23
trim. I,44811,32095,1782,1629,6208,2977,120,23627,21752,369,17,106,1383,-
