NUMĂRUL ÎNNOPTĂRILOR TURIŞTILOR ÎN STRUCTURILE DE PRIMIRE TURISTICĂ COLECTIVE CU FUNCŢIUNE DE CAZARE,,,,,,,,,,,,,,,
,TOTAL,Hoteluri şi moteluri,Pensiuni turistice şi agroturistice,Cămine pentru vizitatori,Structuri de întremare,Sate de vacanţă şi alte structuri de odihnă,Tabere de vacanţă pentru copii,TOTAL,Hoteluri şi moteluri,Pensiuni turistice şi agroturistice,Cămine pentru vizitatori,Structuri de întremare,Sate de vacanţă şi alte structuri de odihnă,Tabere de vacanţă pentru copii,
,T O T A L,,,,,,,din care turişti străini,,,,,,,
2004,1487585,247437,1854,154789,457497,168845,457163,174439,148335,1571,3239,3969,13825,3500,
trim. I,183055,48711,−,39243,94483,618,−,30742,30041,−,287,414,−,−,
trim. II,360448,63671,−,36316,106850,49031,104580,46684,40835,−,428,1502,3052,867,
trim. III,706705,64487,−,40023,131515,118097,352583,49849,33996,−,820,1627,10773,2633,
trim. IV,237377,70568,1854,39207,124649,1099,−,47164,43463,1571,1704,426,−,−,
2005,1618558,263904,3799,167080,494336,143163,546276,186590,165081,2492,2765,3694,518,12040,
trim. I,200933,50002,431,43720,106649,131,−,32522,31602,245,297,378,−,−,
trim. II,426582,69896,709,43567,119457,38609,154344,52426,46872,308,830,746,−,3670,
trim. III,746940,76705,1032,39853,135270,103982,390098,55075,42755,597,893,1942,518,8370,
trim. IV,244103,67301,1627,39940,132960,441,1834,46567,43852,1342,745,628,−,−,
2006,1752963,285867,50047,147827,533189,147583,588450,213982,176147,24728,1198,8861,918,2130,
trim. I,222452,54002,1353,36610,130443,44,−,36820,34725,1234,323,538,−,−,
trim. II,460409,74738,7175,45002,127401,36714,169379,52091,46854,3210,760,862,90,315,
trim. III,821992,89522,21875,36834,145808,109707,418246,69994,51751,9593,−,6563,272,1815,
trim. IV,248110,67605,19644,29381,129537,1118,825,55077,42817,10691,115,898,556,−,
2007,1745178,257523,56778,113658,514861,166629,635729,201006,158479,29797,6163,4388,811,1368,
trim. I,211032,50440,8359,35393,116221,619,−,39424,33542,5011,200,547,124,−,
trim. II,475351,69444,10428,34275,122567,48290,190347,53150,44634,4323,2358,989,266,580,
trim. III,828251,76742,23490,33304,138746,117077,438892,57293,43726,8388,1920,2223,248,788,
trim. IV,230544,60897,14501,10686,137327,643,6490,51139,36577,12075,1685,629,173,−,
2008,1726885,235509,59429,121945,554827,73284,681891,201624,158863,23242,9330,5615,2577,1997,
trim. I,217782,46274,12904,33231,119411,1227,4735,43860,30373,10931,1615,686,255,−,
trim. II,489496,62429,11922,30522,127839,24956,231828,55283,44538,5317,3125,1314,735,254,
trim. III,750348,60292,26125,31284,146678,45537,440432,55056,40002,6994,2980,2769,568,1743,
trim. IV,269259,66514,8478,26908,160899,1564,4896,47425,43950,−,1610,846,1019,−,
2009,1400063,168482,49486,112274,441689,81891,546241,147762,116089,12917,5792,5202,5172,2590,
